country,from_turkey,to_turkey
Albania,62,121
Andorra,3,15
Armenia,83,18
Austria,23,59
Azerbaijan,84,72
Belarus,8,18
Belgium,19,127
Bosnia and Herz.,149,120
Bulgaria,51,102
Croatia,30,46
Cyprus,10,12
Czech Republic,1,7
Denmark,13,88
Estonia,22,8
Finland,14,39
France,1,170
Georgia,73,37
Germany,27,161
Greece,70,31
Hungary,22,24
Iceland,21,21
Ireland,17,10
Israel,23,23
Italy,0,0
Latvia,6,2
Lithuania,4,16
Malta,37,47
Moldova,42,13
Monaco,0,8
Montenegro,5,15
Netherlands,22,149
North Macedonia,74,126
Norway,23,48
Poland,1,11
Portugal,1,16
Romania,55,111
Russia,52,21
San Marino,5,21
Serbia,15,5
Slovakia,0,3
Slovenia,5,17
Spain,13,16
Sweden,50,77
Switzerland,0,119
Ukraine,69,41
United Kingdom,15,113
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Ukraine,69,
United Kingdom,15,